City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Aljezur,PT,73.83,clear sky,37.32,-8.8,Amazigh Hostel
572,Kijang,KR,73.13,overcast clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
573,Zaysan,KZ,65.86,overcast clouds,47.47,84.87,Gostinitsa Aray
574,San Jose,US,60.28,scattered clouds,37.34,-121.89,The Westin San Jose
575,Kamaishi,JP,59.61,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
576,Bereda,ES,74.41,clear sky,43.27,-7.54,Pazo de Verdes
578,Baglung,NP,67.14,heavy intensity rain,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
591,Bayan,CN,52.83,clear sky,46.08,127.4,Wanhao Inn
592,Ahipara,NZ,56.98,broken clouds,-35.17,173.17,Ahipara Holiday Park
594,Tolaga Bay,NZ,53.44,broken clouds,-38.37,178.3,Tolaga Bay Motel
596,Coihaique,CL,57.81,light rain,-45.58,-72.07,Diego De Almagro Coyhaique
600,Acari,PE,71.49,broken clouds,-15.43,-74.62,HOSPEDAJE XIMENA
604,Thunder Bay,CA,63.99,broken clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
609,Tikapur,NP,73.99,overcast clouds,28.5,81.13,BANANA AGRO RESORT
612,West Fargo,US,74.01,clear sky,46.88,-96.9,Hilton Garden Inn Fargo
613,Chanika,TZ,74.07,overcast clouds,-5.42,38.02,New Rombo Green Hotel
619,Chapais,CA,56.98,clear sky,49.78,-74.85,Hôtel Opémiska
620,Anniston,US,72.97,overcast clouds,33.66,-85.83,"Hotel Finial, BW Premier Collection"
621,Flin Flon,CA,51.64,few clouds,54.77,-101.86,Victoria Inn Flin Flon
622,Dalianwan,CN,69.84,mist,39.03,121.69,Huanghai Hotel
623,Asau,RO,74.32,broken clouds,46.43,26.4,Casa Mika Ciobanus
624,Ilave,PE,54.66,overcast clouds,-16.08,-69.67,Hostal Magestad
629,Japura,ID,74.91,clear sky,-0.32,102.35,Rumah mbah Jamah
632,Saint-Joseph,RE,71.98,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
633,Half Moon Bay,US,59.77,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
634,Oktyabrskoye,RU,66.34,broken clouds,43.06,44.74,Prolesok Mini-hotel
636,Mbandaka,CD,72.1,overcast clouds,0.05,18.26,Guest House Epervier
639,Linxia,CN,62.29,overcast clouds,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
641,Nan,TH,72.18,overcast clouds,18.83,100.67,สะเนียน2
642,Sanctorum,MX,66.85,overcast clouds,19.1,-98.25,Marriott Puebla Hotel Meson del Angel
